CODE;PRICE;N1;N2
1537;0,0093;0;0
1540;0,0078;0;0
1540555;0,0078;0;0
1541;0,0078;0;0
1541555;0,0078;0;0
1548;0,0093;0;0
1551;0,0078;0;0
1551555;0,0078;0;0
1556;0,0093;0;0
1557;7;1;1
1559;7;1;1
1559555;7;1;1
1560;7;1;1
1561;0,0078;0;0
1561555;0,0078;0;0
1562;7;1;1
1562555;7;1;1
